category,monthly_budget_inr,basis
Bridges & Culverts,219303648.75,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Buildings & Civil Works,101706687.7,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Electrical Infrastructure,22566395.95,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Energy Operations (derived),6446427.22,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Facility Support Services,3967500.0,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
General Civil Works,732019499.82,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Maintenance Operations (derived),5675581.12,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Occupancy Operations (derived),406221.98,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Roads & Pavements,7991937.65,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Security Operations (derived),2477713.33,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
Water Supply & Sewage,11944558.95,assumption: 1.15x realized average monthly spend for that category in this dataset (no real published per-category facility budget exists)
