building_id,sensor_id,timestamp,total_kwh,hvac_kwh,lighting_kwh,plug_load_kwh,other_kwh,outdoor_temp_c,occupancy_count
BLD-HQ-01,MAIN-METER-01,2025-07-26 15:15:00,271.2,111.79,54.56,65.01,40.48,-1.8,1
BLD-HQ-01,MAIN-METER-01,2025-07-26 15:30:00,266.5,111.28,55.56,67.2,41.17,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 15:45:00,261.81,107.05,52.46,65.52,37.04,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 16:00:00,257.12,98.1,49.89,60.62,38.23,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 16:15:00,252.43,99.93,51.94,62.65,38.09,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 16:30:00,249.37,97.94,50.53,61.07,39.16,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 16:45:00,246.32,101.51,50.09,62.54,37.23,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 17:00:00,243.27,94.61,49.5,59.07,37.2,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 17:15:00,240.21,93.68,49.88,59.18,36.5,-1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 17:30:00,238.51,99.47,47.77,60.93,36.6,-1.72,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 17:45:00,236.81,94.51,47.04,59.81,37.39,-1.65,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 18:00:00,235.12,96.62,46.25,59.22,34.95,-1.58,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 18:15:00,233.42,91.84,45.02,58.01,34.29,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 18:30:00,233.64,91.75,46.43,60.29,36.75,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 18:45:00,233.86,93.15,47.85,54.45,35.47,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 19:00:00,234.08,91.51,48.02,57.83,34.67,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 19:15:00,234.3,93.72,46.41,56.2,34.11,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 19:30:00,237.35,93.1,47.4,56.45,36.43,-1.48,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 19:45:00,240.4,97.35,48.6,58.57,35.83,-1.45,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 20:00:00,243.45,95.89,47.58,62.07,34.57,-1.42,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 20:15:00,246.5,99.76,48.01,62.74,35.61,-1.4,1
BLD-HQ-01,MAIN-METER-01,2025-07-26 20:30:00,251.11,99.31,50.14,64.33,38.62,-1.42,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 20:45:00,255.72,102.97,49.38,65.8,36.62,-1.45,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 21:00:00,260.33,105.16,51.53,65.31,38.81,-1.48,1
BLD-HQ-01,MAIN-METER-01,2025-07-26 21:15:00,264.95,104.01,53.05,63.24,39.42,-1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 21:30:00,270.52,113.01,57.09,65.07,41.04,-1.48,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 21:45:00,276.1,114.38,53.68,69.96,41.85,-1.45,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 22:00:00,281.67,114.56,58.09,72.78,40.82,-1.42,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 22:15:00,287.25,113.19,58.02,71.21,41.06,-1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 22:30:00,292.6,109.67,59.17,77.79,44.38,-1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 22:45:00,297.94,110.02,60.52,77.73,43.72,-1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 23:00:00,303.29,120.65,61.39,78.97,44.88,-1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 23:15:00,308.64,129.68,64.92,74.67,46.96,-1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 23:30:00,314.33,129.4,63.02,77.86,47.28,-1.38,0
BLD-HQ-01,MAIN-METER-01,2025-07-26 23:45:00,320.02,127.23,67.04,79.36,47.9,-1.35,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 00:00:00,325.72,133.58,65.48,77.87,47.28,-1.32,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 00:15:00,331.41,133.35,66.07,82.87,49.82,-1.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 00:30:00,337.7,131.15,68.24,80.5,51.23,-1.23,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 00:45:00,343.99,145.94,70.81,85.39,51.24,-1.15,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 01:00:00,350.29,134.78,73.6,88.27,53.14,-1.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 01:15:00,356.58,150.72,72.87,89.85,53.43,-1.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 01:30:00,362.47,142.43,72.96,87.87,55.59,-0.88,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 01:45:00,368.37,142.11,75.54,93.24,54.94,-0.75,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 02:00:00,374.26,149.95,72.71,88.56,59.36,-0.62,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 02:15:00,380.16,147.86,80.54,96.55,56.87,-0.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 02:30:00,383.9,152.23,76.46,98.19,57.22,-0.42,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 02:45:00,387.65,150.15,80.97,96.78,56.7,-0.35,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 03:00:00,391.4,158.33,80.3,94.9,61.78,-0.28,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 03:15:00,395.15,161.38,76.64,100.89,59.05,-0.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 03:30:00,395.93,157.26,78.06,98.62,61.38,-0.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 03:45:00,396.72,162.62,76.24,100.78,58.16,0.0,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 04:00:00,397.5,154.42,79.07,103.27,60.02,0.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 04:15:00,398.29,161.25,79.06,94.88,59.56,0.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 04:30:00,396.61,163.09,81.83,96.65,59.08,0.35,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 04:45:00,394.93,161.09,77.33,95.4,56.16,0.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 05:00:00,393.25,154.31,80.65,100.65,58.58,0.65,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 05:15:00,391.57,161.84,79.83,93.55,58.29,0.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 05:30:00,389.24,153.71,78.48,97.23,60.8,1.05,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 05:45:00,386.92,156.12,78.16,97.55,58.73,1.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 06:00:00,384.6,153.61,78.13,95.11,57.32,1.55,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 06:15:00,382.28,157.64,80.23,98.01,61.25,1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 06:30:00,380.62,158.43,72.91,95.89,55.59,2.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 06:45:00,378.96,150.65,75.27,89.2,56.19,2.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 07:00:00,377.3,148.76,77.41,93.04,57.79,2.4,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 07:15:00,375.64,144.34,71.78,92.71,56.92,2.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 07:30:00,373.13,150.09,73.97,96.19,54.95,2.7,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 07:45:00,370.62,144.89,76.35,93.21,56.2,2.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 08:00:00,368.11,146.25,71.73,95.28,56.54,2.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 08:15:00,365.6,152.23,71.61,90.22,56.08,3.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 08:30:00,362.23,146.73,68.91,87.11,53.68,3.2,0
