cycle,temp_stage1_c,temp_stage2_c,temp_stage3_c,pressure_kpa,vibration_index,flow_rate,efficiency_ratio,bleed_load,true_rul_cycles,asset_id
1,641.82,1589.7,1400.6,554.36,47.47,521.66,8.4195,23.419,125,AST-TRAIN-001
2,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318,23.4236,125,AST-TRAIN-001
3,642.35,1587.99,1404.2,554.26,47.27,522.42,8.4178,23.3442,125,AST-TRAIN-001
4,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682,23.3739,125,AST-TRAIN-001
5,642.37,1582.85,1406.22,554.0,47.28,522.19,8.4294,23.4044,125,AST-TRAIN-001
6,642.1,1584.47,1398.37,554.67,47.16,521.68,8.4108,23.3669,125,AST-TRAIN-001
7,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974,23.3774,125,AST-TRAIN-001
8,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076,23.3106,125,AST-TRAIN-001
9,642.12,1590.98,1394.8,553.69,47.29,521.79,8.3728,23.4066,125,AST-TRAIN-001
10,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286,23.4694,125,AST-TRAIN-001
11,642.28,1581.75,1400.64,554.54,47.15,521.4,8.434,23.4787,125,AST-TRAIN-001
12,642.06,1583.41,1400.15,554.52,47.18,521.8,8.3938,23.366,125,AST-TRAIN-001
13,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152,23.2757,125,AST-TRAIN-001
14,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964,23.3826,125,AST-TRAIN-001
15,642.43,1583.82,1402.13,553.64,47.3,522.5,8.4199,23.35,125,AST-TRAIN-001
16,642.13,1587.98,1404.5,553.94,47.24,521.49,8.3936,23.455,125,AST-TRAIN-001
17,642.58,1584.96,1399.95,553.8,47.12,521.89,8.4542,23.3319,125,AST-TRAIN-001
18,642.62,1591.04,1396.12,554.2,47.21,521.76,8.4028,23.3987,125,AST-TRAIN-001
19,641.79,1587.56,1400.35,554.18,47.4,521.89,8.4321,23.3464,125,AST-TRAIN-001
20,643.04,1581.11,1405.23,554.81,47.22,522.07,8.421,23.422,125,AST-TRAIN-001
21,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049,23.3101,125,AST-TRAIN-001
22,642.77,1592.93,1400.57,553.63,47.24,522.0,8.4034,23.3792,125,AST-TRAIN-001
23,642.14,1588.19,1394.75,553.98,47.25,521.52,8.424,23.4562,125,AST-TRAIN-001
24,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891,23.3696,125,AST-TRAIN-001
25,642.77,1594.1,1399.39,554.0,47.36,522.56,8.3917,23.4288,125,AST-TRAIN-001
26,642.16,1589.08,1396.07,554.11,47.26,522.28,8.426,23.4149,125,AST-TRAIN-001
27,642.44,1590.47,1401.84,554.07,47.37,522.0,8.4046,23.4472,125,AST-TRAIN-001
28,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323,23.2841,125,AST-TRAIN-001
29,641.91,1584.83,1400.99,554.25,47.24,522.41,8.4189,23.3597,125,AST-TRAIN-001
30,642.2,1593.52,1396.08,554.37,47.4,522.19,8.4065,23.411,125,AST-TRAIN-001
31,642.02,1584.18,1396.9,554.13,47.41,521.95,8.4104,23.3353,125,AST-TRAIN-001
32,642.33,1591.38,1400.36,554.96,47.25,521.92,8.4148,23.4999,125,AST-TRAIN-001
33,642.71,1588.4,1402.43,554.61,47.28,521.91,8.3753,23.3506,125,AST-TRAIN-001
34,642.54,1581.47,1400.48,554.3,47.47,521.7,8.4349,23.3092,125,AST-TRAIN-001
35,642.44,1590.0,1403.0,554.3,47.31,521.75,8.443,23.4164,125,AST-TRAIN-001
36,642.54,1581.72,1405.54,554.53,47.25,522.32,8.4246,23.4308,125,AST-TRAIN-001
37,641.99,1579.11,1398.9,554.63,47.29,522.29,8.4142,23.4352,125,AST-TRAIN-001
38,641.93,1589.6,1399.5,554.7,47.27,522.42,8.4158,23.4768,125,AST-TRAIN-001
39,642.01,1583.21,1400.69,553.97,47.12,522.23,8.414,23.3699,125,AST-TRAIN-001
40,642.24,1582.08,1401.77,554.57,47.33,521.84,8.3784,23.3769,125,AST-TRAIN-001
41,642.4,1591.31,1403.21,553.72,47.09,522.07,8.437,23.4444,125,AST-TRAIN-001
42,642.12,1584.66,1401.38,553.94,47.49,522.23,8.4137,23.375,125,AST-TRAIN-001
43,642.24,1591.52,1406.05,553.68,47.32,522.74,8.4068,23.3148,125,AST-TRAIN-001
44,641.93,1586.94,1401.2,554.15,47.45,522.3,8.4201,23.4753,125,AST-TRAIN-001
45,642.53,1582.42,1399.16,553.83,47.45,521.73,8.4099,23.3943,125,AST-TRAIN-001
46,642.43,1588.29,1401.27,553.76,47.2,522.02,8.3977,23.3745,125,AST-TRAIN-001
47,642.21,1580.32,1402.89,554.38,47.22,521.84,8.3973,23.4873,125,AST-TRAIN-001
48,641.89,1588.51,1399.16,554.02,47.4,521.91,8.4376,23.365,125,AST-TRAIN-001
49,642.23,1584.35,1397.76,554.23,47.22,521.37,8.4151,23.4498,125,AST-TRAIN-001
50,642.77,1588.49,1403.62,553.92,47.47,522.33,8.4116,23.4106,125,AST-TRAIN-001
51,642.81,1585.54,1400.42,553.73,47.12,521.91,8.4504,23.3651,125,AST-TRAIN-001
52,642.76,1583.77,1395.57,553.04,47.07,522.1,8.4539,23.3388,125,AST-TRAIN-001
53,642.61,1579.82,1402.26,554.16,47.29,521.96,8.4418,23.3775,125,AST-TRAIN-001
54,642.42,1592.59,1401.2,553.95,47.38,522.44,8.4189,23.2348,125,AST-TRAIN-001
55,642.41,1584.95,1401.58,554.45,47.4,522.11,8.4071,23.3567,125,AST-TRAIN-001
56,642.49,1586.33,1400.76,553.98,47.26,522.48,8.4022,23.3408,125,AST-TRAIN-001
57,642.13,1583.67,1402.79,553.42,47.29,521.62,8.4263,23.3567,125,AST-TRAIN-001
58,641.9,1590.46,1397.99,554.14,47.26,522.21,8.4319,23.2893,125,AST-TRAIN-001
59,642.33,1596.72,1403.51,554.62,47.26,521.32,8.4476,23.4444,125,AST-TRAIN-001
60,642.34,1582.75,1403.07,554.0,47.41,522.49,8.3878,23.387,125,AST-TRAIN-001
61,642.1,1583.55,1405.52,554.09,47.31,522.34,8.4264,23.3638,125,AST-TRAIN-001
62,642.17,1581.59,1399.54,554.45,47.28,522.19,8.4071,23.2707,125,AST-TRAIN-001
63,642.6,1592.14,1395.38,553.48,47.51,521.56,8.4357,23.3436,125,AST-TRAIN-001
64,642.23,1584.51,1400.11,553.88,47.45,521.82,8.4066,23.384,125,AST-TRAIN-001
65,642.28,1584.72,1403.24,553.97,47.56,521.54,8.4406,23.3752,125,AST-TRAIN-001
66,642.5,1588.5,1399.52,554.0,47.14,521.76,8.3911,23.3152,125,AST-TRAIN-001
67,642.33,1590.22,1403.02,554.31,47.39,522.64,8.3925,23.291,125,AST-TRAIN-001
68,642.51,1582.06,1404.42,554.04,47.36,521.72,8.4242,23.3174,124,AST-TRAIN-001
69,642.44,1590.7,1401.24,554.65,47.41,522.22,8.4292,23.3742,123,AST-TRAIN-001
70,642.22,1584.02,1402.78,554.01,47.41,521.93,8.4279,23.4513,122,AST-TRAIN-001
71,642.21,1580.41,1403.09,554.06,47.3,521.72,8.423,23.3881,121,AST-TRAIN-001
72,642.41,1579.25,1406.81,553.76,47.27,521.97,8.3951,23.3085,120,AST-TRAIN-001
73,642.29,1592.04,1397.93,553.88,47.29,522.04,8.404,23.3975,119,AST-TRAIN-001
74,642.96,1584.65,1401.48,554.03,47.58,522.25,8.4135,23.382,118,AST-TRAIN-001
75,641.96,1582.32,1394.82,553.6,47.22,521.77,8.4621,23.3521,117,AST-TRAIN-001
76,642.21,1589.21,1398.94,553.66,47.44,521.58,8.3996,23.4428,116,AST-TRAIN-001
77,642.55,1586.3,1400.97,554.61,47.41,521.6,8.453,23.275,115,AST-TRAIN-001
78,641.99,1580.76,1404.1,553.47,47.4,522.28,8.3793,23.3486,114,AST-TRAIN-001
79,642.12,1582.46,1403.93,553.77,47.35,521.85,8.4132,23.3121,113,AST-TRAIN-001
80,641.94,1591.96,1393.58,553.91,47.64,521.52,8.4235,23.3613,112,AST-TRAIN-001
81,642.73,1584.82,1402.04,553.88,47.43,521.66,8.4247,23.373,111,AST-TRAIN-001
82,642.04,1589.07,1399.17,554.18,47.25,521.95,8.3986,23.2713,110,AST-TRAIN-001
83,642.66,1588.05,1406.38,553.49,47.22,521.93,8.4128,23.3274,109,AST-TRAIN-001
84,642.64,1585.52,1406.6,553.91,47.38,521.54,8.4139,23.2653,108,AST-TRAIN-001
85,642.28,1590.12,1405.96,554.4,47.36,522.3,8.4499,23.284,107,AST-TRAIN-001
86,641.84,1588.8,1403.56,553.69,47.38,521.82,8.4173,23.3945,106,AST-TRAIN-001
87,642.33,1586.69,1413.1,554.1,47.34,521.43,8.4326,23.3402,105,AST-TRAIN-001
88,641.96,1581.29,1406.09,554.48,47.46,522.2,8.4586,23.3086,104,AST-TRAIN-001
