zone_id,name,zone_type,capacity,timestamp,headcount,utilization_pct
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 10:00:00,68,85.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 10:15:00,43,53.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 10:30:00,20,25.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 10:45:00,13,16.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 11:00:00,69,86.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 11:15:00,63,78.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 11:30:00,65,81.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 11:45:00,72,90.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 12:00:00,46,57.5
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 12:15:00,39,48.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 12:30:00,41,51.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 12:45:00,43,53.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 13:00:00,49,61.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 13:15:00,52,65.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 13:30:00,44,55.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 13:45:00,72,90.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 14:00:00,80,100.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 14:15:00,80,100.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 14:30:00,79,98.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 14:45:00,71,88.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 15:00:00,67,83.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 15:15:00,37,46.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 15:30:00,32,40.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 15:45:00,37,46.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 16:00:00,28,35.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 16:15:00,10,12.5
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 16:30:00,4,5.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 16:45:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 17:00:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 17:15:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 17:30:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 17:45:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 18:00:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 18:15:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 18:30:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 18:45:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 19:00:00,1,1.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 19:15:00,7,8.8
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 19:30:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 19:45:00,6,7.5
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 20:00:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 20:15:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 20:30:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 20:45:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 21:00:00,5,6.2
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 21:15:00,0,0.0
ZN-01,Open Office - Floor 1,workspace,80,2026-07-20 21:30:00,1,1.2
