event_id,access_point_id,access_point_name,zone_id,risk_level,employee_id,timestamp,access_granted,is_anomaly,anomaly_type
EVT-0000003,AP-01,Main Entrance,ZN-06,low,EMP-0022,2026-07-01 15:00:12,True,False,
EVT-0045355,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0158,2026-07-01 15:00:13,True,False,
EVT-0045352,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0046,2026-07-01 15:00:29,True,False,
EVT-0022573,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0120,2026-07-01 15:00:31,True,False,
EVT-0000005,AP-01,Main Entrance,ZN-06,low,EMP-0066,2026-07-01 15:00:36,True,False,
EVT-0000002,AP-01,Main Entrance,ZN-06,low,EMP-0195,2026-07-01 15:00:49,True,False,
EVT-0082113,AP-07,Emergency Exit - East,,medium,EMP-0109,2026-07-01 15:00:53,True,False,
EVT-0000004,AP-01,Main Entrance,ZN-06,low,EMP-0148,2026-07-01 15:00:57,True,False,
EVT-0045350,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0045,2026-07-01 15:01:02,True,False,
EVT-0045351,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0143,2026-07-01 15:02:23,True,False,
EVT-0000001,AP-01,Main Entrance,ZN-06,low,EMP-0180,2026-07-01 15:02:33,True,False,
EVT-0022570,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0130,2026-07-01 15:02:37,True,False,
EVT-0045353,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0123,2026-07-01 15:03:40,True,False,
EVT-0022571,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0178,2026-07-01 15:03:59,True,False,
EVT-0022572,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0193,2026-07-01 15:04:42,True,False,
EVT-0045354,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0213,2026-07-01 15:04:54,True,False,
EVT-0000008,AP-01,Main Entrance,ZN-06,low,EMP-0033,2026-07-01 15:05:06,True,False,
EVT-0000007,AP-01,Main Entrance,ZN-06,low,EMP-0167,2026-07-01 15:05:22,True,False,
EVT-0000009,AP-01,Main Entrance,ZN-06,low,EMP-0079,2026-07-01 15:05:31,True,False,
EVT-0069467,AP-05,Executive Wing Door,ZN-08,medium,EMP-0137,2026-07-01 15:06:07,True,False,
EVT-0000006,AP-01,Main Entrance,ZN-06,low,EMP-0036,2026-07-01 15:07:05,True,False,
EVT-0075934,AP-06,Loading Dock,,medium,EMP-0023,2026-07-01 15:07:10,True,False,
EVT-0022575,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0058,2026-07-01 15:07:25,True,False,
EVT-0075935,AP-06,Loading Dock,,medium,EMP-0049,2026-07-01 15:08:27,True,False,
EVT-0045357,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0165,2026-07-01 15:09:18,True,False,
