Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods,Service Department,Expense Area,Net Order Value,GL Code,Cost Centre
06/11/2024,ZAV748018,1,12351,Getech,181800,Environmental Services Technical Equipment,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,810.00,400110,13001
06/11/2024,ZAV748018,4,12351,Getech,181800,Environmental Services Technical Equipment,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,5220.00,400110,13001
09/10/2024,ZFC746817,1,1799,Stockport Homes,370000,Utilities,Utilities,Services to Place,Property Client Acct,5946.00,200510,12328
12/11/2024,ZFC748257,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to Place,SPB Operational Est.,22000.00,200100,11662
14/11/2024,ZFC748448,1,2384,Learnd UK Limited,370000,Utilities,Utilities,Services to Place,SPB Operational Est.,6193.00,200510,11662
14/11/2024,ZFC748449,1,2384,Learnd UK Limited,370000,Utilities,Utilities,Services to Place,SPB Operational Est.,7170.00,200510,11662
25/11/2024,ZFC748777,1,8832,Safe and Secure Solutions Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,School Closure,10000.00,200160,10463
01/10/2024,ZSB746407,1,10897,Three Sixty SHG Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,2952.75,200123,10329
01/10/2024,ZSB746407,7,10897,Three Sixty SHG Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,2263.72,200123,10329
29/10/2024,ZSB747615,5,10897,Three Sixty SHG Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,14944.82,200123,10329
06/11/2024,ZSB748028,1,15012,OM Property UK Limited,202000,Financial Services Rents,Rents,Services to People,Highfields PRU,13020.00,200703,10329
07/11/2024,ZSB748090,1,15074,Bespoke Shelters,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,5150.00,400110,10329
07/11/2024,ZSB748090,2,15074,Bespoke Shelters,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,13460.00,400110,10329
12/11/2024,ZSB748260,1,10897,Three Sixty SHG Ltd,390000,"Works - Construction, Repair & Maintenance",Repairs and Maintenance,Services to People,Highfields PRU,12407.18,200123,10329
27/11/2024,ZSB748911,1,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,2596.64,200510,10329
27/11/2024,ZSB748911,2,16330,EDF ENERGY - Large Accounts,370000,Utilities,Utilities,Services to People,Highfields PRU,2692.61,200510,10329
17/12/2024,ZSB749739,1,15074,Bespoke Shelters,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,280.00,400110,10329
17/12/2024,ZSB749739,2,15074,Bespoke Shelters,181800,Environmental Services Technical Equipment,Furniture and Equipment,Services to People,Highfields PRU,6325.00,400110,10329
25/10/2024,ZZH747501,1,930,PHS Group Plc,130000,Cleaning & Janitorial,Cleaning,Services to Place,SPB Operational Est.,10000.00,201607,11662
25/10/2024,ZZH747501,2,930,PHS Group Plc,130000,Cleaning & Janitorial,Cleaning,Services to Place,SPB Operational Est.,10000.00,201607,11662
25/10/2024,ZZH747501,3,930,PHS Group Plc,130000,Cleaning & Janitorial,Cleaning,Services to Place,SPB Operational Est.,10000.00,201607,11662
16/10/2024,ZZH747091,1,15988,Robertson Construction Group L,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Corporate and Support Services,#N/A,18500.00,200311,C.11523.005
16/10/2024,ZZH747127,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,#N/A,505121.35,401600,C.01502.203
17/10/2024,ZZH747198,1,4708,The Dodd Group,240000,Horticultural,Grounds Maintenance,Services to Place,#N/A,9961.96,202032,C.10775
17/10/2024,ZZH747207,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,14077.70,200304,C.01198.203
18/10/2024,ZZH747312,1,2025,BT Plc (Openreach),230000,Highway Equipment & Materials,Highways Maintenance,Services to Place,#N/A,6019.80,202055,C.01503.201
21/10/2024,ZZH747334,1,10298,SOLO PROTECT LTD,181800,Environmental Services Technical Equipment,Furniture and Equipment,Corporate and Support Services,POD Health & Safety,7910.40,400110,11122
24/10/2024,ZZH747458,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance",Capital Expenditure - Works,Services to Place,#N/A,5807.50,200304,C.01198.203
