Sl No.,Department-Location,Tender Title,Tender Value in Rs,Published Date,Last Date,Tender Type,Category,Sub-Category,Tender Number
1,BBMP-EE-PDMBNGR,Providing drinking water works in ward no 183 in Padmanabhanagara Division,"1,186,957",01/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25412
3,BBMP-EE-MAHADEVAPURA,Special repairs and improvements to BBMP building at Kadugudi in Ward no.83,"1,494,135",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/BD/WORK_INDENT23739/CALL-2
4,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains at Shankarapura colony in Kadugudi ward No.83,"1,497,920",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23813/CALL-2
5,BBMP-EE-MAHADEVAPURA,Improvements to roads and construction of drains to 1st Main road Ambedkarnagara in Kadugudi ward No.83,"2,480,499",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23803/CALL-3
6,BBMP-EE-MAHADEVAPURA,Construction of drains to 3rd cross road of Kadugudi plantation (Dinnur) in Kadugudi ward No.83,"1,993,668",03/04/2017,10/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23812/CALL-3
8,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains at Vijayalakshmi colony cross roads in Kadugudi ward No.83,"1,498,123",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23810/CALL-3
12,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains at Di-Silva & Naidu Layout in Kadugudi ward No.83,"1,492,631",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23808/CALL-3
13,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains at VSR Layout and Purushotham Singh house road in Kadugudi ward No.83,"1,497,443",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23806/CALL-3
14,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains of Prashanth Layout Main road in Kadugudi ward No.83,"1,991,875",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23805/CALL-3
15,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains of Kadugudi Extention near BESCOM office in Kadugudi ward No.83,"1,993,857",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23804/CALL-3
16,BBMP-EE-MAHADEVAPURA,Improvements and Asphalting to roads at Maruthi layout in ward no.83 Kadugudi,"2,494,014",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23955/CALL-3
17,BBMP-EE-MAHADEVAPURA,Construction of road and drain at 5th cross Tulasi Theater main road at Marathahalli at Ward no :86,"1,997,687",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24324/CALL-2
18,BBMP-EE-MAHADEVAPURA,Improvements to roads and drains at Srirama Nursing Home road at Marathahalli in Ward No:86,"3,597,916",03/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24326/CALL-2
20,BBMP-EE-MAHADEVAPURA,Improvementing roads and drains of Nalluralli cross roads in ward no.84,"1,977,525",04/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT21405/CALL-5
21,BBMP-EE-MAHADEVAPURA,Improvements to Roads and drains at Seetharampalya in Garudacharpalya ward no-82,"1,979,729",04/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23961/CALL-3
22,BBMP-EE-MAHADEVAPURA,Demolition of Unauthorized Building and removal of debris at Sy no.102-2 Pattanduru Agrahara in Garudacharpalya ward no.82,"680,423",04/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24684/CALL-2
24,BBMP-EE-MAHADEVAPURA,"Maintenance and Repairs to Culverts, drains in Ward No-54","1,494,592",04/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24689/CALL-2
25,BBMP-EE-MAHADEVAPURA,Providing and fixing of Name boards at Hoodi ward no.54,"994,573",04/04/2017,20/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24693/CALL-2
26,BBMP-EE-KRPURAM,"Development works in ward no.55, Devasandra.","17,325,088",04/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25414
27,BBMP-EE-KRPURAM,Develoment works in Ward No. 56 A.Narayanapura,"17,326,034",04/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25415
28,BBMP-EE-KRPURAM,Construction of First Floor & Second Floor at M.E.G. Layout Akash Nagar in Ward No. 81,"17,324,793",04/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25420
29,BBMP-EE-KRPURAM,Construction of Dialysis Center at Krishna Raja Puram,"19,248,763",04/04/2017,21/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25421
32,BBMP-EE-MAHADEVAPURA,Repairs and Improvements to Over Head Tank at Dinnur and Channasnadra in Ward No. 83 (Kadugudi),"498,390",05/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25422
33,BBMP-EE-PDMBNGR,Providing and fixing 16 feet brass metal statue of swamy vivekananda in Yadiyur lake park in ward no 167,"5,500,000",05/04/2017,26/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24297/CALL-2
34,BBMP-EE-Chamarajpeth,Rejuvunation and construction of Kennels in Veternary Hospital Premises in Ward No 138,"6,767,771",05/04/2017,20/04/2017,OPEN,WORKS,Other Works,BBMP/2017-18/OW/WORK_INDENT25441
35,BBMP-EE-KRPURAM,Construction of Culverts in emergency required area at R M Nagara ward area in Ward No 26,"1,474,672",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24015/CALL-3
36,BBMP-EE-KRPURAM,Improvements to Kowdenahalli Ashwatha Katte Area in R M Nagara Ward No 26,"999,959",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24064/CALL-3
37,BBMP-EE-KRPURAM,Improvements to Existing Kalyani Area at Kalkere Village in R M Nagara Ward No 26,"4,493,006",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24063/CALL-3
38,BBMP-EE-KRPURAM,Improvements to Roads and Drains at Kanaka Nagara Surrounding Area Cross Roads in RM Nagara Ward No 26,"2,964,367",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24005/CALL-3
39,BBMP-EE-KRPURAM,Improvements to Roads and Drains at K Channasandra Surrounding Area Cross Roads in R M Nagara Ward No 26,"3,978,945",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24009/CALL-3
43,BBMP-EE-KRPURAM,Construction of Balawadi building in Jyothinagar in Madahalli Basavanapura ward no 53,"4,999,166",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT24033/CALL-3
44,BBMP-EE-KRPURAM,Construction of Watchmen room and improvement to burrial ground at singaiahnapalya and tent road Devasandra in ward no 55,"1,962,077",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23951/CALL-3
45,BBMP-EE-KRPURAM,Construction of Toilet Block Kitchen and Providing Furiture for Newly Proposed Community hall in Ward no 56,"2,743,425",05/04/2017,21/04/2017,OPEN,WORKS,,BBMP/2016-17/OW/WORK_INDENT23963/CALL-3
