Date,Dragino Door Sensor,Dragino Window 1 Sensor,Dragino Window 2 Sensor,humidity,co2,temperature,motion,light,occupancy,soundAvg,soundPeak,ltrCnt,rtlCnt
2023-09-12 09:05:00+00:00,1.0,1.0,0.0,55.0,761.0,25.0,0.0,702.0,0.0,47.0,71.0,0.0,0.0
2023-09-12 09:10:00+00:00,0.0,1.0,0.0,55.0,761.0,25.0,0.0,702.0,1.0,47.0,71.0,0.0,0.0
2023-09-12 09:15:00+00:00,1.0,1.0,0.0,55.0,747.0,25.0,5.0,833.0,1.0,47.0,59.0,1.0,2.0
2023-09-12 09:20:00+00:00,0.0,1.0,0.0,55.0,772.0,25.1,0.0,853.0,0.0,49.0,64.0,0.0,0.0
2023-09-12 09:25:00+00:00,0.0,1.0,0.0,55.0,765.0,25.1,4.0,862.0,0.0,51.0,69.0,1.0,0.0
2023-09-12 09:30:00+00:00,0.0,1.0,0.0,55.0,760.0,25.1,0.0,898.0,0.0,48.0,59.0,0.0,0.0
2023-09-12 09:35:00+00:00,0.0,1.0,0.0,55.0,742.0,25.2,0.0,926.0,0.0,47.0,59.0,0.0,0.0
2023-09-12 09:40:00+00:00,0.0,1.0,0.0,55.0,735.0,25.3,0.0,950.0,0.0,47.0,59.0,0.0,0.0
2023-09-12 09:45:00+00:00,1.0,1.0,0.0,55.0,747.0,25.3,1.0,1005.0,1.0,47.0,66.0,0.0,0.0
2023-09-12 09:50:00+00:00,0.0,1.0,0.0,55.0,751.0,25.4,1.0,985.0,1.0,52.0,65.0,1.0,1.0
2023-09-12 09:55:00+00:00,0.0,1.0,0.0,55.0,712.0,25.4,0.0,1017.0,0.0,46.0,59.0,0.0,0.0
2023-09-12 10:00:00+00:00,0.0,1.0,0.0,54.0,722.0,25.5,0.0,1026.0,0.0,49.0,61.0,0.0,0.0
2023-09-12 10:05:00+00:00,0.0,1.0,0.0,54.0,723.0,25.5,0.0,1032.0,0.0,48.0,63.0,0.0,0.0
2023-09-12 10:10:00+00:00,0.0,1.0,0.0,54.0,739.0,25.6,0.0,1059.0,0.0,53.0,66.0,0.0,0.0
2023-09-12 10:15:00+00:00,1.0,1.0,0.0,54.0,754.0,25.7,2.0,1026.0,1.0,53.0,66.0,0.0,0.0
2023-09-12 10:20:00+00:00,1.0,1.0,0.0,54.0,781.0,25.7,0.0,1088.0,1.0,50.0,68.0,0.0,0.0
2023-09-12 10:25:00+00:00,0.0,1.0,0.0,54.0,760.0,25.8,10.0,1062.0,1.0,51.0,67.0,1.0,4.0
2023-09-12 10:30:00+00:00,0.0,1.0,0.0,54.0,701.0,25.8,1.0,1041.0,2.0,48.0,73.0,1.0,2.0
2023-09-12 10:35:00+00:00,0.0,1.0,0.0,54.0,663.0,25.8,0.0,1029.0,2.0,46.0,59.0,0.0,0.0
2023-09-12 10:40:00+00:00,0.0,1.0,0.0,53.0,646.0,25.8,0.0,796.0,0.0,48.0,59.0,0.0,0.0
2023-09-12 10:45:00+00:00,0.0,1.0,0.0,53.0,576.0,25.8,0.0,801.0,0.0,47.0,61.0,0.0,0.0
2023-09-12 10:50:00+00:00,0.0,1.0,0.0,53.0,576.0,25.9,0.0,773.0,0.0,47.0,59.0,0.0,0.0
2023-09-12 10:55:00+00:00,1.0,1.0,0.0,53.0,567.0,25.9,0.0,785.0,0.0,46.0,59.0,0.0,0.0
2023-09-12 11:00:00+00:00,0.0,1.0,0.0,53.0,567.0,25.9,0.0,777.0,1.0,48.0,59.0,0.0,0.0
2023-09-12 11:05:00+00:00,1.0,1.0,0.0,53.0,541.0,25.9,2.0,986.0,2.0,46.0,61.0,1.0,1.0
2023-09-12 11:10:00+00:00,0.0,1.0,0.0,53.0,537.0,25.9,1.0,950.0,1.0,47.0,59.0,1.0,1.0
2023-09-12 11:15:00+00:00,1.0,1.0,0.0,53.0,528.0,26.0,0.0,989.0,2.0,46.0,65.0,0.0,0.0
