Date,Dragino Door Sensor,Dragino Window 1 Sensor,Dragino Window 2 Sensor,humidity,co2,temperature,motion,light,soundAvg,soundPeak
2023-11-16 11:00:00+00:00,1.0,1.0,0.0,29.0,959.0,23.1,6.0,592.0,55.0,86.0
2023-11-16 11:05:00+00:00,1.0,1.0,0.0,29.0,959.0,23.1,6.0,592.0,59.0,93.0
2023-11-16 11:10:00+00:00,1.0,1.0,0.0,31.0,1147.0,23.4,15.0,256.0,58.0,88.0
2023-11-16 11:15:00+00:00,0.0,1.0,0.0,30.0,982.0,23.3,17.0,259.0,60.0,79.0
2023-11-16 11:20:00+00:00,1.0,1.0,0.0,29.0,971.0,23.1,14.0,229.0,56.0,74.0
2023-11-16 11:25:00+00:00,1.0,1.0,0.0,29.0,978.0,23.0,11.0,264.0,48.0,70.0
2023-11-16 11:30:00+00:00,1.0,1.0,0.0,29.0,950.0,22.9,4.0,279.0,38.0,61.0
2023-11-16 11:35:00+00:00,0.0,1.0,0.0,29.0,945.0,22.8,2.0,272.0,42.0,68.0
2023-11-16 11:40:00+00:00,0.0,1.0,0.0,29.0,888.0,22.8,8.0,268.0,47.0,67.0
2023-11-16 11:45:00+00:00,0.0,1.0,0.0,29.0,917.0,22.8,4.0,264.0,55.0,69.0
2023-11-16 11:50:00+00:00,0.0,1.0,0.0,29.0,880.0,22.8,5.0,257.0,55.0,70.0
2023-11-16 11:55:00+00:00,1.0,1.0,0.0,29.0,891.0,22.8,7.0,260.0,53.0,71.0
2023-11-16 12:00:00+00:00,0.0,1.0,0.0,29.0,906.0,22.8,14.0,270.0,45.0,73.0
2023-11-16 12:05:00+00:00,0.0,1.0,0.0,29.0,882.0,22.8,0.0,268.0,37.0,59.0
2023-11-16 12:10:00+00:00,0.0,1.0,0.0,29.0,876.0,22.7,0.0,266.0,35.0,59.0
2023-11-16 12:15:00+00:00,0.0,1.0,0.0,29.0,841.0,22.7,0.0,265.0,35.0,59.0
2023-11-16 12:20:00+00:00,0.0,1.0,0.0,29.0,809.0,22.7,0.0,270.0,35.0,59.0
2023-11-16 12:25:00+00:00,0.0,1.0,0.0,29.0,799.0,22.7,0.0,262.0,35.0,59.0
2023-11-16 12:30:00+00:00,1.0,1.0,0.0,29.0,782.0,22.7,0.0,260.0,35.0,59.0
2023-11-16 12:35:00+00:00,1.0,1.0,0.0,29.0,748.0,22.6,2.0,252.0,37.0,61.0
2023-11-16 12:40:00+00:00,0.0,1.0,0.0,29.0,734.0,22.6,0.0,256.0,39.0,72.0
2023-11-16 12:45:00+00:00,1.0,1.0,0.0,29.0,718.0,22.6,4.0,253.0,38.0,67.0
2023-11-16 12:50:00+00:00,1.0,1.0,0.0,29.0,727.0,22.6,2.0,241.0,43.0,70.0
2023-11-16 12:55:00+00:00,1.0,1.0,0.0,29.0,751.0,22.6,13.0,246.0,50.0,71.0
2023-11-16 13:00:00+00:00,1.0,1.0,0.0,29.0,736.0,22.7,1.0,241.0,38.0,63.0
2023-11-16 13:05:00+00:00,0.0,1.0,0.0,29.0,747.0,22.7,1.0,239.0,37.0,59.0
2023-11-16 13:10:00+00:00,0.0,1.0,0.0,29.0,765.0,22.7,2.0,238.0,38.0,59.0
